attic,211
loading_dock,32
supermarket,147
underwater/ocean_deep,204
server_room,224
iceberg,256
pier,339
bazaar/outdoor,25
pasture,164
hayfield,200
shower,219
television_room,286
physics_laboratory,296
museum/outdoor,19
bazaar/indoor,27
lighthouse,68
ice_skating_rink/outdoor,76
railroad_track,77
islet,125
landing_deck,9
medina,26
canal/natural,134
lagoon,136
rainforest,207
wheat_field,337
embassy,34
beer_garden,179
bar,268
manufactured_home,326
butchers_shop,352
catacomb,48
trench,69
discotheque,87
garage/indoor,94
restaurant,285
arena/hockey,304
hospital_room,330
boat_deck,335
beer_hall,89
airport_terminal,100
arena/performance,170
bank_vault,240
bow_window/indoor,321
basketball_court/indoor,351
downtown,7
beach,229
oast_house,75
conference_center,158
picnic_area,233
gymnasium/indoor,294
hotel_room,329
banquet_hall,183
watering_hole,213
burial_chamber,49
excavation,203
formal_garden,232
sauna,289
art_studio,305
bedchamber,324
market/indoor,29
construction_site,72
phone_booth,85
library/indoor,97
japanese_garden,155
drugstore,202
reception,247
crevasse,45
natural_history_museum,58
elevator_lobby,74
roof_garden,150
movie_theater/indoor,157
ball_pit,205
ice_shelf,250
landfill,298
computer_room,320
forest_road,11
arcade,56
department_store,186
playroom,189
slum,217
elevator/door,259
pond,271
closet,276
car_interior,292
flea_market/indoor,28
bus_station/indoor,31
porch,40
kitchen,171
cafeteria,287
art_school,322
mountain_snowy,343
creek,357
kasbah,16
gift_shop,193
shed,344
gas_station,37
bookstore,99
tree_farm,162
harbor,253
alley,66
boardwalk,112
racecourse,123
candy_store,191
auto_showroom,356
coast,362
tower,67
viaduct,237
sky,241
waterfall,358
apartment_building/outdoor,93
mansion,133
rock_arch,145
farm,163
football_field,165
army_base,291
general_store/outdoor,310
mountain_path,314
church/outdoor,65
fountain,84
snowfield,105
field/cultivated,114
dam,149
ice_floe,249
restaurant_kitchen,290
auto_factory,350
general_store/indoor,354
ski_slope,104
barndoor,209
chalet,340
grotto,47
oilrig,78
storage_room,131
ice_cream_parlor,238
restaurant_patio,301
jacuzzi/indoor,306
motel,307
parking_lot,86
stage/indoor,243
marsh,251
kindergarden_classroom,277
conference_room,303
courtyard,21
beauty_salon,101
ski_resort,102
pantry,143
dorm_room,262
atrium/public,275
raceway,282
ocean,312
galley,345
runway,124
booth/indoor,156
home_theater,159
pet_shop,166
cliff,71
boxing_ring,169
coffee_shop,236
nursing_home,311
ticket_booth,23
crosswalk,39
throne_room,55
balcony/interior,220
greenhouse/indoor,273
swamp,317
lobby,59
basement,64
subway_station/platform,80
stadium/soccer,121
jewelry_shop,194
orchestra_pit,199
train_interior,227
yard,299
barn,346
fire_escape,130
wet_bar,172
art_gallery,185
airplane_cabin,212
rope_bridge,216
heliport,245
auditorium,248
waiting_room,347
street,13
moat/water,14
parking_garage/indoor,95
bowling_alley,110
volcano,223
sandbox,230
lake/natural,316
bedroom,332
mountain,353
shopping_mall/indoor,129
lock_chamber,135
home_office,308
wave,361
plaza,33
pharmacy,146
forest/broadleaf,152
vegetable_garden,208
escalator/indoor,226
industrial_area,1
rice_paddy,161
bakery/shop,257
pavilion,360
house,364
promenade,2
stadium/baseball,116
village,215
airfield,283
desert/sand,334
television_studio,88
wind_farm,295
greenhouse/outdoor,132
shopfront,178
field/wild,201
arena/rodeo,222
martial_arts_gym,244
cockpit,252
stable,266
swimming_hole,270
campsite,280
lecture_room,302
corn_field,338
ballroom,61
stadium/football,122
utility_room,142
amphitheater,214
tree_house,288
florist_shop/indoor,300
tundra,221
delicatessen,323
desert_road,10
mausoleum,17
temple/asia,44
hangar/indoor,108
beach_house,137
locker_room,141
aquarium,197
hot_spring,264
palace,20
courthouse,24
dressing_room,91
inn/outdoor,151
classroom,184
zen_garden,192
veterinarians_office,274
diner/outdoor,336
cabin/outdoor,342
castle,18
science_museum,60
clothing_store,187
kennel/outdoor,206
fishpond,272
music_studio,176
legislative_chamber,210
dining_room,359
canal/urban,0
balcony/exterior,106
office_building,128
market/outdoor,180
patio,318
badlands,148
playground,195
childs_room,261
botanical_garden,269
boathouse,279
archive,98
schoolhouse,325
living_room,349
alcove,50
ice_skating_rink/indoor,107
bullring,111
orchard,198
assembly_line,246
repair_shop,293
raft,355
igloo,46
library/outdoor,92
campus,113
golf_course,117
butte,126
water_tower,127
chemistry_lab,228
valley,315
office,328
swimming_pool/indoor,333
fire_station,35
synagogue/outdoor,43
church/indoor,51
pagoda,62
corridor,73
shoe_shop,234
carrousel,281
cottage,341
driveway,36
garage/outdoor,38
toyshop,190
ruin,70
baseball_field,115
engine_room,138
mezzanine,139
food_court,181
bus_interior,258
pizzeria,348
skyscraper,3
train_station/platform,81
windmill,218
aqueduct,41
archaelogical_excavation,63
arch,79
volleyball_court/outdoor,103
staircase,168
sushi_bar,182
topiary_garden,231
berth,263
junkyard,284
fabric_store,297
mosque/outdoor,15
hangar/outdoor,30
hotel/outdoor,82
athletic_field/outdoor,118
canyon,144
forest_path,154
recreation_room,167
amusement_park,242
bamboo_forest,265
youth_hostel,331
elevator_shaft,57
stage/outdoor,109
laundromat,174
hunting_lodge/outdoor,278
swimming_pool/outdoor,363
highway,5
artists_loft,54
parking_garage/outdoor,83
jail_cell,96
park,120
lawn,153
operating_room,177
water_park,196
dining_hall,327
cemetery,22
hospital,42
doorway/outdoor,140
hardware_store,173
biology_laboratory,235
entrance_hall,52
museum/indoor,53
amusement_arcade,188
glacier,255
corral,267
river,4
vineyard,8
field_road,160
office_cubicles,225
bathroom,239
building_facade,309
desert/vegetation,313
gazebo/exterior,319
bridge,6
residential_neighborhood,12
pub/indoor,90
soccer_field,119
clean_room,175
fastfood_restaurant,254
nursery,260
